Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,CABIXI_15124009,PIMENTEIRAS_15130000,PEDRAS_NEGRAS_15150000,PRINCIPE_DA_BEIRA_15200000,BOCA_DO_POMPEU_-_JUSANTE_15248010,GUAJARÁ-MIRIM_15250000,PORTO_VELHO_15400000,FAZENDA_FLOR_DO_CAMPO_15552600,PIMENTA_BUENO_15558000,JIPARANÁ_15560000
2002-03,RO,3.0,2.0,1.5,6.65,13.3,7.3,-,-,214.31,31.5,22.2,86.78,0.47,110.83,528.24,0.57,417.85,635.58,657.74,1129.16,460.87,1026.05,1512.18,345.97,603.3,841.48
2002-04,RO,9.0,6.0,1.5,5.68,28.4,7.4,-,-,191.68,31.76,21.89,86.38,0.48,104.43,508.83,0.56,402.73,627.58,644.37,1160.98,427.07,1044.18,1378.48,315.41,581.06,815.55
2002-05,RO,41.0,4.0,10.25,15.24,396.2,49.3,-,-,61.4,31.27,21.35,85.3,0.5,95.86,487.75,0.38,318.66,556.27,623.8,1052.26,317.5,981.4,1177.5,290.13,501.44,739.63
2002-06,RO,261.0,31.0,8.42,25.63,2844.9,433.0,-,-,7.91,31.23,18.99,82.06,0.57,94.28,502.82,0.59,248.93,464.15,526.88,822.3,207.94,850.67,968.38,268.88,425.12,683.75
2002-07,RO,1359.0,50.0,27.18,36.67,38324.3,994.2,-,-,31.41,32.27,19.4,78.0,0.73,98.57,503.66,0.58,232.62,374.95,367.19,547.35,157.02,711.68,622.94,261.29,399.44,658.28
2002-08,RO,9701.0,52.0,186.56,55.41,397358.1,2280.5,-,-,64.45,33.72,20.15,75.94,0.86,107.88,527.52,0.47,233.23,347.15,284.28,421.48,115.68,619.24,422.31,256.69,393.96,652.75
2002-09,RO,29432.0,52.0,566.0,71.05,1488949.9,4321.7,-,-,70.61,33.46,20.87,76.03,0.86,113.04,531.74,0.54,225.47,322.98,267.13,398.08,102.29,584.27,356.23,256.38,384.93,652.81
2002-10,RO,10422.0,52.0,200.42,51.82,407414.1,1904.8,-,-,138.6,33.35,22.05,77.68,0.84,125.62,585.07,0.51,213.84,301.38,243.92,379.09,87.38,557.23,430.45,256.97,380.6,646.72
2002-11,RO,1396.0,49.0,28.49,48.0,57835.4,2163.7,-,-,182.91,32.57,22.22,80.61,0.72,118.8,553.0,0.54,228.07,311.65,243.73,379.83,101.8,558.17,593.07,268.62,418.75,678.32
2002-12,RO,140.0,35.0,4.0,18.81,2220.0,195.0,-,-,349.55,31.42,22.36,84.16,0.57,105.53,487.3,0.5,353.06,406.37,292.82,418.42,199.21,600.61,890.06,288.77,480.16,763.26
2003-01,RO,90.0,23.0,3.91,22.11,1746.4,242.2,-,-,296.5,31.49,22.81,84.41,0.57,108.27,501.28,0.51,400.61,537.98,477.74,554.1,302.01,789.69,1139.68,329.85,647.71,854.69
2003-02,RO,21.0,12.0,1.75,13.92,222.7,51.2,-,-,262.53,31.16,22.05,84.12,0.56,97.9,457.03,0.6,423.86,627.12,599.0,783.91,370.52,943.11,1362.0,359.36,675.52,900.55
2003-03,RO,15.0,8.0,1.88,20.43,265.6,95.6,-,-,380.53,31.06,22.17,85.45,0.51,97.26,451.41,0.59,417.74,696.94,657.9,945.21,437.94,1054.69,1444.55,372.87,743.52,984.09
2003-04,RO,21.0,14.0,1.5,17.46,366.6,86.1,-,-,202.16,31.64,21.83,83.47,0.58,97.2,464.27,0.61,418.47,627.9,688.37,1155.62,483.77,1151.42,1451.17,367.42,756.85,976.97
2003-05,RO,184.0,29.0,6.34,39.98,5677.2,454.8,-,-,109.24,31.67,20.96,80.35,0.67,97.23,478.0,0.65,359.29,550.15,667.53,1163.08,401.55,1122.81,1144.56,304.21,537.29,740.81
